original_imperial_site_number,site_number_for_plots,Latitude,Longitude,County,Treatment,Bombus_1,New_classification,Original_classification
1,1,51.0456201,0.4094369,East Sussex,Pastoral,terrestris,Pastoral,Pastoral
2,2,51.0145042,-0.5124821,West Sussex,Pastoral,terrestris,Pastoral,Mixed
3a,3,51.089066,-1.350867,Hampshire,Arable,terrestris,Arable,Arable
4,4,51.5047803,-0.9367104,Oxfordshire,Pastoral,terrestris,Pastoral,Mixed
6,5,52.0441829,-1.385873,Oxfordshire,Arable,terrestris,Arable,Mixed
7,6,51.1697742,1.0275627,Kent,Arable,terrestris,Arable,Arable
8,7,50.8595703,-3.3898884,Devon,Mixed,terrestris,Mixed,Arable
9,8,50.6617719,-3.7678777,Devon,Pastoral,terrestris,Pastoral,Pastoral
11,9,51.0416708,-3.5430012,Somerset,Pastoral,terrestris,Pastoral,Pastoral
12,10,51.2863257,-2.8138849,Somerset,Pastoral,terrestris,Pastoral,Pastoral
13,11,53.2552318,-4.3129901,Anglesey,Pastoral,terrestris,Pastoral,Pastoral
14,12,52.9788344,-3.3788572,Denbighshire,Pastoral,terrestris,Pastoral,Pastoral
15,13,53.2137459,-1.6790718,Derbyshire,Pastoral,terrestris,Pastoral,Pastoral
16,14,53.2112025,-0.3276179,Lincolnshire,Arable,terrestris,Arable,Arable
17,15,52.6110487,0.2445202,Norfolk,Arable,terrestris,Arable,Arable
18,16,52.4048594,1.1415169,Norfolk,Arable,terrestris,Arable,Arable
19a,17,53.8487245,-0.183287,East Yorkshire,Arable,terrestris,Arable,Arable
19b,18,53.7165987,-0.4535537,East Yorkshire,Arable,terrestris,Arable,Arable
21,19,56.00496,-2.720487,East Lothian,Arable,terrestris,Arable,Arable
22,20,55.6640215,-4.040382,South Lanarkshire,Pastoral,terrestris,Pastoral,Pastoral
23,21,54.636512,-2.8705029,Cumbria,Pastoral,terrestris,Pastoral,Pastoral
24,22,53.848362,-2.599183,Lancashire,Pastoral,terrestris,Pastoral,Pastoral
25,23,51.85974,-4.485505,Carmarthenshire_,Pastoral,terrestris,Pastoral,Pastoral
26,24,51.822404,-4.149339,Carmarthenshire_,Pastoral,terrestris,Pastoral,Pastoral
27,25,52.0653395,-2.338079,Worcestershire,Pastoral,terrestris,Pastoral,Arable
28,26,53.178774,0.193808,Lincolnshire,Arable,terrestris,Arable,Pastoral
29,27,52.5312534,-0.3944559,Cambridgeshire,Arable,terrestris,Arable,Arable
40,28,51.270928,0.923566,Kent,Mixed,terrestris,Mixed,Arable
